latitude,longitude,tweets
59.858564,17.638927,1806
52.904532,-8.981135,1746
53.154659,-6.779817,1739
51.70605,-8.522501,1708
53.275240,-9.160438,1692
53.292790,-6.141937,1659
53.293705,-6.153956,1585
52.130074,-10.450284,1584
53.23979,-9.49897,1562
53.363843,-6.490003,1550
48.856614,2.352222,1547
43.653226,-79.383184,1545
52.661186,-8.625735,1515
54.276610,-8.476089,1475
45.42153,-75.697193,1413
44.648863,-63.57532,1386
1.352083,103.819836,1364
54.511202,-6.765526,1359
48.692054,6.184417,1352
53.382837,-6.276290,1340
53.455747,-6.219741,1310
53.506330,-6.465453,1304
53.997945,-6.405957,1300
52.059935,-9.504427,1282
53.322709,-9.736971,1281
42.358431,-71.059773,1280
52.621302,-8.005161,1268
53.647092,-6.696661,1259
46.498295,11.354758,1252
33.717471,-117.831143,1230
53.341932,-9.615275,1218
52.27131,-9.699932,1213
53.702784,-9.808252,1195
53.308818,-6.196695,1189
52.138334,-10.45119,1152
53.251067,-6.665231,1098
48.079359,7.358512,1095
42.108412,-72.078706,1091
41.753382,-86.110838,1074
53.992601,-8.065585,1048
45.96359,-66.643115,1039
42.331427,-83.045754,1034
53.057333,-9.531842,940
42.765366,-71.467566,932
53.755729,-6.272067,921
52.797693,-6.159929,914
52.682823,-9.644412,884
51.884278,-10.178730,876
53.423933,-7.94069,868
53.961951,-10.015335,867
52.139361,-8.275561,848
51.045325,-114.058101,845
-34.603684,-58.381559,839
54.632394,-8.589462,838
53.552367,-6.786647,817
55.755826,37.6173,799
51.481581,-3.17909,793
60.449325,22.259231,755
53.323506,-6.382222,752
52.724544,-9.320028,741
54.987434,-8.535058,707
54.634447,-5.846256,691
53.277911,-6.105844,689
53.296966,-6.283719,681
53.313353,-6.341363,677
53.085504,-9.585972,669
51.621506,-8.8887,663
-38.228,145.062,662
54.827917,-7.462879,639
-43.532054,172.636225,638
54.750052,-6.320274,597
54.659212,-5.671361,571
54.272662,-6.488687,571
53.286590,-6.366588,570
54.541917,-6.701670,553
51.924417,-9.213782,551
59.913869,10.752245,550
54.258990,-5.941427,547
44.231172,-76.485954,541
54.708089,-8.729516,536
-35.280937,149.130009,529
-32.928271,151.78168,508
53.235687,-7.712223,507
41.878114,-87.629798,501
54.832875,-7.485639,495
53.220565,-6.659308,490
54.19202,-8.445244,481
53.608319,-6.18208,473
53.399427,-6.668123,467
54.995757,-6.180067,464
54.549816,-6.007218,445
51.823173,-8.396191,437
55.600029,-2.432207,422
35.689488,139.691706,420
54.246524,-6.953339,413
39.550051,-105.782067,402
52.136581,-7.937637,395
54.542709,-6.041736,394
45.692982,-73.63311,391
50.17874,8.47191,387
25.204849,55.270783,385
53.822548,-8.561583,375
55.208254,-2.078414,374
52.994295,-7.332301,373
54.101926,-6.527498,372
53.513685,-7.142786,364
54.609419,-7.270438,363
54.531074,-6.812849,355
53.517988,-8.855627,353
53.169658,-6.534069,353
54.514583,-5.889557,352
47.497912,19.040235,350
54.277889,-7.066951,349
52.955179,-7.79847,348
51.817905,-8.391496,346
54.602322,-5.947629,345
55.203361,-6.987548,343
54.767146,-8.409286,341
54.285325,-9.796802,331
54.030631,-7.022229,331
45.638728,-122.661486,329
53.726835,-6.874833,328
54.657724,-8.632748,323
53.328762,-8.226947,320
40.806755,-74.185421,320
54.2239,-9.987603,319
52.415303,-4.08292,319
37.839333,-84.270018,316
54.741884,-6.379473,308
51.960665,7.626135,306
51.438799,-9.492261,299
53.300480,-6.500852,291
53.654835,-9.366338,290
40.633125,-89.398528,290
51.93639,-9.145431,289
52.163,-10.422888,287
53.990605,-7.362941,285
54.797167,-8.283032,272
52.355817,-7.690255,272
51.454513,-2.58791,269
54.341291,-5.748485,260
53.724859,-8.247836,251
54.284160,-5.948141,248
51.934358,-8.566961,248
54.451352,-7.712502,243
53.149118,-6.079341,239
54.84403,-6.67214,233
53.945188,-8.085522,232
54.232692,-6.029105,231
49.815273,6.129583,231
53.57145,-6.906029,220
14.599512,120.98422,220
53.346766,-6.342224,217
52.940372,-9.293495,215
52.818831,-9.1088,214
53.138909,-8.936296,211
53.802131,-9.514347,210
54.25880,-8.57320,195
54.047339,-7.315509,195
53.65475,-6.422175,193
55.033536,-7.307532,191
-22.913395,-43.20071,189
52.636122,-8.645919,187
52.473466,-8.862386,187
44.983334,-93.26667,178
35.689487,139.691706,178
53.906874,-6.805223,176
54.933649,-6.696068,175
52.135818,-7.937680,169
37.441883,-122.143019,165
52.211499,-7.733832,164
41.808431,-72.249523,163
39.904211,116.407395,163
51.686727,-9.070313,154
54.63676,-8.64737,152
54.401208,-5.650673,149
54.398267,-5.762586,146
45.50867,-73.553992,146
53.342251,-6.35356,144
41.605000,-72.879167,143
53.544389,-113.490927,139
43.07368,-75.598235,137
55.136408,-8.104486,135
53.977978,-6.718824,135
53.513523,-6.540252,134
53.200717,-6.111256,131
40.014986,-105.270546,130
51.850336,-8.294286,122
39.32098,-111.093731,121
53.492394,-6.253978,118
40.440625,-79.995886,117
53.525933,-7.338138,115
54.345229,-7.631215,111
52.200742,-6.434281,110
54.188502,-7.175938,109
54.756837,-6.608001,107
51.769013,-10.099529,107
51.924216,4.481776,106
53.052529,-6.217715,104
53.097806,-7.718997,101
55.02044,-8.31366,98
52.088567,-8.233699,96
44.681987,-63.744311,96
54.927257,-6.920606,95
53.737950,-8.585348,92
51.809782,-0.237674,86
-20.917574,142.702796,79
53.367395,-6.302335,70
58.276544,-3.770537,57
53.339897,-6.538459,51
52.123458,-10.383255,49
